start	end	text
1909616	1912598	Eran cuentos, historias, todas ficcionales.
1913819	1917962	Las di vuelta, les añadí un relato.
1921186	1931951	completamente hay uno de adjetivos y de énfasis y resultó, resultó bien.
1932452	1934193	Metodológicamente es excelente, ¿eh?
1934273	1940676	Claro, bueno, es muy borgeano eso. Borges aconsejaba el pudor por los énfasis,
1942117	1949420	ejercer una una tarea de vigilancia muy fuerte sobre el texto propio para que
1951122	1954945	No, no fuera enfático, para que no aparecieran palabras
1955565	1958447	que parecían escritas en rojo, diríamos.
1959127	1960248	Ahí, por ejemplo...
1960608	1963970	Bueno, Borges también dice que en realidad no la voy a citar bien,
1963990	1966372	pero que todo destino consta en realidad un solo momento,
1966492	1968833	que es el momento en el que el hombre sabe para siempre quién es.
1970214	1972876	Quizás es muy barroco esto, pretenderte tenerlo así en la vida,
1972916	1974277	como un rayo que te extraquea,
1974777	1976998	pero vos tenés algún momento en tu vida donde dijiste...
1978399	1979840	¿Este es quién soy?
1979880	1979980	No.
1981782	1986524	Apenas tuve esa intuición profesional en este momento ahí que describiso.
1986544	1988784	No, no es esa intuición profesional que te acabo de contar.
1988824	1995606	Lo otro es mucho pedir para mí, que es yo quien soy, no lo sé.
1996427	1998848	Bueno, yo creo que nadie es nadie, decís ahí en algún momento.
1998868	1999548	Yo creo que nadie.
1999608	2000528	Esa estaba bien.
2000548	2001348	Imagínense.
2003169	2007270	La gente está todo el tiempo tratando de ser alguien para luego decirlo.
2008792	2017875	Entonces se compra el anuario de Orangel y se fija a ver qué dice del signo, del zodiaco, el cual pertenece.
2017975	2021736	Y empieza, a falta de otro dato, empieza a creer en eso.
2022176	2031580	Tauro dice, los de Tauro son tenaces, perseveran en las cosas que hacen, dice el tipo, ese soy yo.
2032020	2037342	Claro que eso es vos alguna vez, hasta que de golpe no sos eso, sino otra cosa.
2041608	2044410	El tipo está contento con eso, y si no encuentran eso,
2044750	2047773	pero alguien le dice algo y él opta por creerlo.
2049334	2053177	Y está tratando, incluso con preferencias,
2053637	2055359	el tipo trata de construirse.
2056039	2059622	Me dice, no, yo, por ejemplo, no provebo el pozo.
2060484	2066706	Y mira, como diciendo, andás llevando, porque esto es yo, que no pruebo el podio, y se busca.
2067086	2078749	Yo lo he visto en persona, he visto gente buscar dentro de sí, alguna particularidad para luego decirla en la mesa y quedar como verdaderamente alguien personal.
2079129	2079369	Sí.
2079829	2085091	Es infructoso todo eso, es mentira lo que dice, es mentira que no le gusta el pollo y qué.
2086792	2087933	¿Qué clase de ser?
2087953	2090195	Eh, ¿capal tipo estuvo pensando toda la semana con esto los mato?
2090215	2090835	No me gusta el pollo.
2090875	2091876	Miro, con esto los mato.
2092216	2095518	Yo, por ejemplo, no me hablo con los vecinos, ni sé, mira.
2096319	2096859	Trevedo.
2097039	2099381	Sí, o yo esto y yo aquello, basta.
2100782	2101222	Basta.
2102123	2102423	Basta.
2103644	2109068	Eh, es mucho mejor para buscarse incluso uno mismo, mirar al otro.
2110810	2114853	mirar al otro. Ahí, ahí por ahí vas a tener algún dato de quién sos.
2115493	2119335	Pero eso de hablar y hablar y ponerle al yo
2120416	2124539	distintos adjetivos según el foro en donde estés tomando un helado
2126460	2127901	es medio difícil.
2129081	2130882	¿Dónde te encontrás, por ejemplo?
2131843	2135886	Imagino que te buscas. Sí, claro, pero no, no, no siempre. Me encuentro, ¿qué sé yo?
2135906	2136946	Me encuentro en la duda.
2138008	2141271	En la duda siempre me encuentro, me encuentro a mí y me encuentro a las personas que amo.
2141971	2151019	Allí en la duda uno encuentra amigos, después en el convencimiento es más difícil.
2151039	2161887	¿Por qué? Porque compartir la duda, la perplejidad ante un mundo muy complejo y difícil de percibir,
2165090	2166071	compartir eso...
2167593	2181480	Se parece a lo que es la amistad, la amistad es una búsqueda compartida, búsqueda de la gloria, quizás búsqueda de la respuesta a algunas preguntas, por ejemplo, quién somos, quiénes somos, ¿no?
2183241	2193686	Y ahí está la amistad, pero lo otro, mostrarse continuamente uno ante otro, eso no se parece a la amistad, se parece...
2195008	2197750	a las charlas de la gente que van a tomar algo, diga al amigo.
2200772	2202834	Es más como si uno mostrasa un catálogo de uno mismo,
2202854	2203815	mirá mis cualidades que...
2203835	2207657	Y pero es falso ese catálogo, es falso, ¿qué sé yo?
2209519	2212441	No lo sé, pero uno no es todos los días ese.
2214763	2218465	Bueno, Whitman, ¿no? Que se contenga multitud, es que es verdad, ¿verdad?
2219666	2222989	Y a veces ni siquiera son multitud, los dos o tres.
2224374	2225296	Linda Whitman, ¿eh?
2225477	2225958	Sí, Linda.
2227325	2232168	te pasa que no te quiero preguntar por no sabes que de qué quiero hablar de esto
2232528	2236371	vos citaste en un momento dijiste no citaste dijiste que la pretensión de
2236391	2242715	originalidad era algo no sé si hace quible viste pero está ahí y
2242735	2246478	recuerda haberte escuchado probablemente de joven de más joven
2247619	2251781	decir que todo todo escritor argentino es un intento de imitación de Borges no que
2251801	2255104	en algún punto hay un poco si hay como también claro
2257187	2264693	Yo tengo la sensación, porque para mí Borges es la mejor pluma de la república argentina,
2264713	2270778	es decir, es que mejor ejecutó algo, hasta técnicamente, pero hace no tanto,
2270798	2275942	hará unos 4 o 5 años, descubría Macedonio. Lo descubrí casi por accidente, porque estaba
2275962	2277283	leyendo el hombre que está solo y espera.
2278065	2285031	Y Escalabriní lo trafica, este lo tira ahí como el único metafísico de la Ciudad de Buenos Aires.
2285091	2286552	Y digo, ¿qué es esto? ¿Qué hay acá?
2287213	2293258	Y me embarqué en leer, no todas vigílias, de los ojos abiertos, que es un camino de ida porque te descompone molecularmente.
2293298	2297041	De repente vos te mirás y no entendés, te empezás a salir flotando, digamos.
2297701	2300463	Pero sin embargo esos textos son mejores usados por Borges.
2301024	2302845	Bueno, eso es increíble.
2302865	2304667	Sí, claro.
2304629	2309873	A mí me da la sensación de que es como si Macedonio fuera una suerte de fuente,
2310033	2314237	como si fuese una fuente en estado puro y que todos fueron a mamar de ahí,
2314538	2318281	pero quizás su mejor traductor fue Borges, porque Borges puede agarrar eso y decir
2318301	2321724	que esto no se entiende nada, te lo ordeno así.
2322965	2323966	¿Qué te parece así?
2324146	2325748	¿Qué te parece si lo hacemos por este lado?
2325848	2327770	Estoy completamente de acuerdo con ese, íctamente.
2328292	2333436	¿Hay una tradición, y ahí veo que es una tradición literaria en la República Argentina,
2333736	2336298	que puede tener o su origen o no en esa dirección?
2336698	2339700	Porque son varios los macedonianos, si uno quiere hacer una...
2339720	2346645	Es difícil hablar de una tradición literaria en una literatura tan joven y en varios pintas,
2346665	2349307	como la literatura argentina.
2350428	2355192	Ahí, de nuevo, estaba la literatura gauchesca, estaba.
2356474	2361217	El camino trazado por Borges, están...
2362978	2367521	Estas lujones, como un farola, iluminándolo todo.
2369243	2370924	Como un farol alarmante.
2371164	2374226	Un farol tremendo, es un farol terrible también.
2378609	2384613	Esas son caminos diferentes de lo literario.
2386154	2389395	Está, desde luego, Cortázar, ¿no?
2391815	2396176	La más, incluso más parecida al gusto de este tiempo.
2398716	2400977	A Muncho le gusta más Cortázar que Borges.
2401797	2404617	¿Vos cómo ves esa, viste, que uno tiene esta tendencia
2404637	2406058	de comparaciones que existen?
2406138	2408618	¿Pero qué te pasa con estos autores? ¿Te gusta más Cortázar?
2408758	2413259	No, claro, me pasa que no los considero de esa manera.
2413519	2415279	No es que me gusten más uno que otro.
2416800	2420781	Para qué perdérselo, solo por comparar.
2421261	2424762	Lo que puede ser que uno quiera más a uno, pero es un error también.
2425182	2425662	Es un error?
2425722	2431083	Sí, porque a veces por querer o no querer, uno se pierde una gran literatura.
2432364	2441306	Y ahí viene la gran pregunta, si es que debe perdonarse una actitud incorrecta.
2444292	2449296	porque un tipo escribe bien, o al revés, si uno debe renunciar a una buena literatura,
2450196	2459422	porque el tipo es un canalla, y no lo sé, no lo sé, disfruto lo que hay, disfruto lo
2459442	2466027	que hay después, cuando hablamos de quién es, de si Picasso era uno, era un canalla,
2466267	2469489	y hay otra conversación, son dos conversaciones.
2472032	2475195	pero no sé por qué entre en este tema.
2476156	2477397	No, igual, es así.
2477437	2480179	Hay una tendencia metodológica en este espacio
2480199	2481761	que no hay muchos temas.
2481821	2483462	En eso también es más posmoderno,
2483482	2485584	puede ser, hay ritos de modernidad.
2485804	2488546	Puede ser que Cortázar tenga más que ver
2489247	2491069	quizás estéticamente con el presente.
2491089	2492089	No lo había pensado así.
2492470	2494472	Yo no sé si con el presente tiene más que ver
2496154	2503719	Si usted no sé si es el presente, nos parece que era el presente y a lo mejor esto ya ha cambiado también.
2504679	2513445	Para los muchachos progresistas, días de 20 años, Cortázar era mejor visto que Borges.
2513985	2519508	Pero ese no es el presente ahora. ¿Cuál es el presente? Y no lo sé. No lo sé.
2523546	2526348	¿Cómo vivís vos el presente? ¿Te parece raro?
2526428	2528949	¿Te parece... Hubo cosas raras, la verdad,
2528969	2532170	que entre pandemia, digitalización de cosas, sobran motivos para...
2532190	2534311	Me parece raro, pero es la única cosa que uno vive en.
2534651	2536392	Lo demás son ficciones.
2537032	2537272	Sí.
2537713	2541374	El pasado y el futuro son construcciones que uno hace
2542035	2543795	generalmente incorrectas, ¿no?
2545736	2547657	Últimamente estoy frecuentando
2548798	2551159	a unos compañeros del colegio
2554651	2558434	Y no estoy seguro de que sean una buena compañía para mí.
2558814	2559094	A ver.
2559915	2560575	Lo digo arriba.
2560915	2564218	Lo digo sabiendo que ellos no van a estar escuchando.
2564338	2564798	Acá no hay...
2564818	2566179	Claro.
2566700	2570703	Programa porque no siguen lo que pomposamente podríamos llamar mi carrera.
2570743	2573125	No les interesa nada en mi vida.
2573185	2573705	Pectacular.
2573745	2575747	Ya algo, el chico que fui a los 15 años.
2576187	2577628	Pero a mí ese chico no me interesa más.
2580712	2589059	Y suelen darme ellos una visión del pasado y del presente muy tendenciosa y muy peligrosa.
2589639	2590340	Peligrosa.
2590440	2591521	Peligrosa, sí.
2591561	2591981	¿Por qué?
2592221	2603130	Porque han hecho renuncia de algunas condiciones.
2607678	2612859	Estoy pensando si decir lo que voy a decir, pero sí, hay muchas personas
2614460	2622161	siendo muy inteligentes y muy preparadas, creen que corresponde a personas de cierta edad
2622821	2632043	un renunciamiento, un renunciamiento a las esperanzas, especialmente a lo que es sensual,
2632803	2637764	a lo que tiene que ver con el disfrute de los sentidos.
2640595	2644657	y entonces se han anulado como sujetos deseantes,
2646537	2652079	porque sienten la mirada acusadora del resto de la sociedad.
2653159	2657500	Sienten que por tener más de 60 años ya no pueden desear,
2658361	2662222	ni pueden formular juicios relacionados con ese deseo,
2662822	2664483	con la apreciación de la belleza.
2668124	2669244	¿Y esa renuncia?
2672825	2684048	los modifican, les impide adquirir la tonicidad que es indispensable para contemplar la belleza.
2684508	2693310	Cuando digo la belleza digo todo, digo lo que es sensual, lo que es intelectual, entonces
2693330	2699971	los tipos están como anulados, miran mucho la televisión, comparten en las redes sociales
2700451	2701732	videos chistosos.
2703093	2711795	a razón de uno cada media hora y renuncian básicamente al sinismo,
2714616	2718357	visto este como la capacidad de rastrear el desatino.
2721818	2729160	Es decir, han perdido un poco de consistencia y de atención.
2730360	2732160	El tipo que desea está atento.
2733622	2747811	A ver, a ver dónde pasa algo que venga a alojarse en mi cerebro y que desate una serie de raciones, reacciones químicas que te la volio a oír.
2750292	2762080	El que no tiene eso, mira incluso para otro lado pensando, no sea cosa que estos tipos que están acá mirándome me vean deseando.
2766138	2772298	Eso es responsabilidad del desciante que renuncia,
2773039	2777379	pero también del entorno, del entorno que censura el deseo.
2779040	2783600	Y eso es algo que se relaciona con muchísimos de los temas
2784340	2789561	que están flotando en el aire, en la discusión del día a día,
2790021	2791501	en la sociedad en que vivimos hoy.
2792722	2793742	Tiene mucho que ver.
2795403	2800585	con ciertas discriminaciones, vamos a usar la palabra, finalmente.
2802466	2807027	¿En ese grupo vos que encontras un sparring, la posibilidad de...?
2807047	2812309	No, encuentro que ellos se han rendido en algunas batallas.
2814570	2816851	Y entonces, son más amables que yo.
2818232	2819032	¿Son más amables?
2819112	2820673	Claro, yo no sé si quiero...
2821233	2823514	Si me divierte tanto la gente amable.
2826216	2829598	Eso no sos un escéptico, entonces.
2830439	2833581	¿Vos hablaste antes de que no tendías a creer
2833761	2836703	o que no te llevabas tan bien con creer, quizás?
2837123	2839145	¿Me parece que alguien que sigue presentando batalla
2839165	2842367	en los frentes que encuentra no se puede hacer si uno no cree?
2842687	2844148	Bueno, pero es una batalla...
2846290	2848111	como la citada anteriormente.
2850092	2854735	La batalla del que todavía no empezó a escribir.
2856478	2861702	Pero ya empieza a competir con otros escritores, a ver quién es menos.
2862302	2864024	Claro, claro.
2865004	2870649	Vos tenés también otra cosa a la que me gustaría hablar, porque esto, o sea,
2870949	2873891	hablamos de la escritura, hablamos de su peso específico.
2874994	2878456	Me mencionaste también cosas de radio, de tu laburo, bóstenes.
2878916	2883440	Me gustaría afirmar cosas, pero no tengo conocimiento de causa real para decirlas,
2883460	2888843	pero el ciclo radial que vos tenés no es de los más largos de la historia argentina como ciclo.
2889144	2890665	Sí, pero es una curiosidad esa.
2891906	2893327	No solo es una curiosidad.
2893387	2894608	Una venida arriba a Davián.
2894848	2897990	Bueno, ¿qué otro mérito tiene esa venida?
2899892	2903374	Para mí tiene méritos en términos artísticos, intrínsecos, pero también...
2903394	2904775	La avenida Ribadavia, no lo creo.
2904875	2907936	La mejor, ¿eh? Por supuesto, tiene valor cultural, tremendo.
2907956	2909497	Uno defiende la avenida Ribadavia donde va.
2910438	2912018	Yo defendería la venganza, será terrible.
2912799	2914960	Y yo también, antes que la venía Ribadavia, sí.
2915580	2916981	En ese orden seguro antes.
2917601	2919702	No, te quería preguntar si después de tanto tiempo,
2920623	2923064	¿cómo uno va encontrando, quizás estar relacionado con esto mismo
2923084	2924725	que me dijiste al respecto de...
2926146	2930828	no rendirse a las posibilidades de estimularse, de sorprenderse, de hacer cosas.
2931728	2935970	Uno creería la pregunta, me parece que es una pregunta también muy de mi generación,
2936010	2941532	pero no llegué un momento después de hacer algo, no sé, 30 años que te aburre o que agarras y decís,
2942232	2944593	algún día no vas y decís, chau la pelota.
2944613	2948235	Si uno hiciera lo mismo durante 30 años, probablemente se aburriría.
2948935	2951556	Yo no siento que eso sea así.
2952296	2954177	Lo que se repiten son los horarios.
2957762	2966826	el guardón de trabajo, pero el problema es muy distinto lo que era, absolutamente distinto.
2968907	2973269	Algunas personas se han cambiado, es decir, han sido sustituidas por otras,
2973950	2976231	y otras han sido sustituidas por ellas mismas.
2977651	2978552	Eso es lindo.
2978672	2984655	Y si el hombre de hoy sustituye al de hacer, lo que quiero decir es que
2985796	2989118	Barton no es castelo, y yo no soy yo.
2990858	2991459	¿Vos sabés que…?
2991659	2994720	Hemos cambiado, hay mucha diferencia entre Barton y castelo,
2995700	2999142	y mucha más diferencia entre este que habla con vos
3000122	3004484	y el muchacho que empezó hace 30 y tantos años en la vengancia,
3004504	3007385	si era terrible o demasiado tarde para la grima, ¿no?
3007405	3008005	¿Cómo se llamaba?
3009186	3011187	Es el mismo fenómeno entonces, hay algo de que…
3012148	3015669	No cambiar parecería también renunciar a una batalla.
3016409	3019890	Sí, tampoco hay que creer que todo cambio está bien.
3020950	3022511	¿Para qué voy a decir eso?
3023591	3026392	Es algo que... Ahí está. Decir estas cosas.
3027072	3029392	¿Qué? No, prescindible, decís.
3029432	3029772	¿Para qué?
3029832	3032193	Es una aclaración.
3032213	3038235	Ahorrar incisos obvios es un arte que yo no posego, evidentemente.
3039316	3041437	Bueno, eso de vuelta, la literatura, ¿no?
3041477	3045479	El cambio, porque el cambio mismo, no vale la pena, ¿qué es eso?
3046540	3056545	O sea, es cuando hablabas esto de esto que te pasa con tu grupo de amigos y decías que hay varias cosas que esto que las ves en términos generales, ¿no?
3058147	3063531	Yo tengo la impresión de que vivimos tiempos raros, hay tiempos extraños, para mí hay
3063551	3068975	mucho de esto que se desprende de que hay una política muy extraña, o al menos yo le
3068995	3073919	considero un lugar importante a la política, viste, para determinar sociedades, modelos
3073939	3074259	de conducto.
3074279	3077441	Bueno, en caso de este tiempo, la política es lo más extraño que sucede.
3077662	3078382	Es muy extraño.
3078402	3079283	Sí, claro.
3079323	3080924	Puedes preguntar un poco cómo ves.
3082866	3087087	Pero te diría así, en términos generales, esto, yo nunca salgo de una suerte de diagnóstico
3087107	3093409	medio impotente, en términos de lo que uno ve, de representación política, que además
3093809	3097030	tiene como un contraste muy grande con otras cosas que están pasando, porque de repente
3097090	3100651	os decís, somos campeón del mundo, ¿no?, somos campeón del mundo.
3101011	3105893	Algo que ahí, por ejemplo, yo nací en el 93, yo no pude participar de ninguna de las
3105933	3109313	asañas grandes de la historia deportiva de nuestro país, hasta ahora.
3110415	3113316	Y había una porción de mí que decía, o sea, el otro ya lo decía en la radio,
3114097	3118019	a mi generación se le jugaba que si no era esta, ya nosotros empezamos a contar
3118039	3120381	para los refutores de leyendas, porque si a mí no me daba ninguna,
3120401	3121582	yo pues a ver si miraba, no se puede.
3122522	3125624	Y esta de repente es como una inyección de creencia impresionante.
3125664	3128146	Y yo digo, ¿cómo puede estar pasando esto en un lugar del país?
3128326	3131528	Y vos después ves al mismo tiempo algo tan como Paco,
3131568	3133689	como si no se pudiera canalizar esa...
3134210	3136591	¿Será que a lo mejor la política no tiene algo a ver con el fútbol?
3137493	3138293	No tiene nada que ver.
3138434	3138914	Y será.
3139514	3140975	Es lo primero que a uno se ocurre.
3141595	3150339	Si la selección consigue un éxito de nivel mundial y todos nos emocionamos y nos sentimos
3150960	3160424	copartícipes de una alegría popular, y por el otro lado vemos de qué lado parece estar
3160444	3164326	la opinión mayoritaria en la política argentina, tendríamos que conjeturar.
3166989	3174033	Son otras partes del cerebro, las que se ocupan del fútbol que las que se ocupan de la política.
3174853	3182518	¿Y vos crees que la política tampoco puede en causar o representar una esfervescencia, una alegría, un algo?
3182558	3185119	Puede, como poder puede, no lo está logrando.
3185219	3186480	No lo está logrando.
3189722	3195906	Evidentemente, ¿qué es lo que le está pasando al país y al mundo posiblemente?
3199286	3203408	La desigualdad le está pasando, le está pasando la desigualdad.
3204668	3208810	A la Argentina le está pasando su pobreza.
3209751	3216254	No la pobreza considera que un porcentaje de la población no alcanza a ganarse bien el sustento,
3216274	3221436	sino la pobreza de sus recursos, ni siquiera de sus recursos.
3223377	3225438	Pobreza de su situación actual.
3227080	3228180	¿Por qué decimos que es un pueblo?
3228501	3230562	Porque le debemos a cada santo una vela.
3232583	3240626	Y entonces uno siente la tentación de empezar a hacer historia,
3241087	3248931	ya que hablábamos de ribadavia, podremos ver cuánto mal le hace al país,
3248971	3252712	cuánto más pobres, pobres nos hace ser.
3254454	3258775	la deuda, aquel empréstito de la Bar in Brothers,
3260236	3262196	que el empréstito de un millón de libras,
3262756	3264797	que no se necesitaba mucho que digamos,
3266377	3268758	que tomó Rivadavia junto con sus secuaces,
3270158	3273359	un millón de libras aquí, ya al principio ya entraban 500.000.
3275480	3279341	Pero todavía no habíamos contado con las comisiones.
3281682	3283282	Y esa deuda se terminó a pagar.
3284683	3289686	Ya en el siglo XX, primeros años del siglo XX, 1905 o sea,
3291227	3295449	pero mientras tanto, hubo que tomar otros empréstitos para pagar éste.
3297951	3303314	Y lo que pagó la Argentina durante todo el siglo XIX,
3304854	3313259	ese resto del siglo XIX, hubiera alcanzado para construir de verdad una Argentina impresionante,
3313359	3313519	bueno.
3316158	3330941	Y después siguió eso, siguió la historia, registra dos gobiernos, tres uno quiere, que no tomaron deuda.
3334442	3341663	Entonces cuando uno piensa que es lo que hace que un país sea pobre o sea rico, evidentemente la diferencia que hay entre lo que produce
3344325	3348448	y lo que consume ahora, entre lo que vende y lo que compra,
3351370	3356474	entre lo que tiene que gastar y lo que tiene disponible para el consumo.
3357995	3363959	Y claro, si vos se da cuenta, te das idea para no incurrir en un incesto,
3366261	3373026	de que la mayor cantidad de bienes se gastan en pagar deuda.
3375806	3384453	Entonces debe ser muy dañé y no esto, debe ser muy dañé, y esto es histórico, bien.
3385534	3396123	Está bien que hace unos años tuvo una dimensión inusual, formidable y casi definitiva para los sueños del país.
3397284	3400306	Ahora, ¿quién no comprenda que el daño está así?
3402088	3410490	Y no, en esa idea, aquella metáfora que estuvimos gastando, es como una casa que ha gastado demasiado
3410910	3415551	y después se encuentra con que tiene que pagar, no ha gastado demasiado, no, no.
3416571	3422312	Una cosa es gastar demasiado y la otra cosa es endeudarse con unos tipos que viven en
3422332	3424912	tu casa y son socios de los que te prestan la guita.
3425793	3432078	y otras cosas, y fugarla, que te prestan, y no gastársela en farras que hubiera sido extraordinario.
3433159	3433939	A por lo menos una joda de...
3433959	3437942	Casi una farra general de todo el pueblo argentino de cinco años.
3438923	3439984	No hubo tal cosa.
3441044	3441985	No hubo tal cosa.
3445347	3446448	Y yo me es difícil.
3448330	3452152	Porque también es cierto que...
3453454	3459437	Las verdaderas razones de nuestra pobreza están un poquito ocultas por lo contingente.
3460938	3468701	Para esto no ayuda tampoco, no ha sido astuto este gobierno en eludir las numerosas desgracias
3468721	3478084	que le han sucedido desde la pandemia hasta el boycott de la mayoría del pueblo argentino.
3482605	3490450	Y entonces, lo que flota en el aire es que ya nadie está muy interesado en una política
3490470	3496734	de inclusión, en un Estado que venga a secorrer a los que vienen, a los que menos tienen,
3496814	3506821	en un Estado que sea un poco más rígido, con los que tienen más, poco, nadie mira
3506841	3507701	con simpatía eso.
3509143	3513186	Tengo yo de los jugadores de fútbol, hablando de fútbol y política.
3514227	3520291	Están todos indignados porque le van a cobrar altos impuestos por la quita que con tanto esfuerzo han ganado.
3521552	3526175	Ese es muy difícil, es muy difícil.
3526195	3535941	Yo no estoy interesado en argumentar esto que hice, no fue un argumento, sino la manera de explicarte
3537343	3544427	que es lo que estoy sintiendo, como me parece que los argumentos son absolutamente insuficientes,
3549250	3551531	insuficientes e impertinentes.
3552992	3553953	¿Por qué e impertinentes?
3554153	3555394	Porque no son escuchados.
3556254	3556594	Ok.
3557335	3559256	No son escuchados, porque no hay una discusión.
3560618	3562939	Entonces, un argumento sin pertinente.
3563439	3566581	Sólo es pertinente un argumento que no hay una discusión de argumento,
3566621	3570263	cuando no hay tal cosa que venís vos a decir,
3570923	3576846	eh, porque sabe cómo fugaron esa plata, bueno, que sí, me lo explicás.
3576866	3581028	Sí, si no hay, no hay cauce, no hay...
3581068	3582969	No hay, nadie te lo escucha, pero ¿por qué?
3583049	3584770	Porque ya están convencidos de otra cosa.
3584930	3586831	Hay un descrédito generalizado.
3586851	3588512	Sí, es muy difícil luchar contra eso.
3589612	3590172	Entonces, sí.
3591994	3600319	Hay que empezar a observar la realidad y ver de qué manera la podemos modificar, hay ciertas
3600700	3609084	recetas que no funcionan, la podemos modificar en qué sentido, el sentido es resolver los
3609125	3618230	principales problemas que hay aquí, pobreza de nuestros recursos y desigualdad, no solamente
3618250	3618970	que tenemos poco.
3621095	3625784	sino que lo distribuimos de un modo desigual.
3627009	3634774	Siempre que se habla o me parece a mí que se habla de la República Argentina y se la historiza hay como una tentación de agarrar y decir y los argentinos
3634794	3643959	Viste un historial de conflicto difíciles como que o las salidas fáciles siempre son esta cosa medio como si fuera aspiracional o
3644159	3650303	Inspiracional abstracta del estilo teniendo todas las posibilidades todos los tenemos todos los climas como que hay una cosa ahí con el
3650363	3651784	Vos ya que me hablaste de historia también y
3656589	3658449	Y es una pasión que creo que compartimos.
3659550	3664912	¿Tenés una lectura histórica de la frustración argentina si existiese, viste?
3665232	3667172	La frustración, evidentemente, no.
3667653	3670314	No sucede por razones de nuestro ADN.
3672354	3676856	Muchas veces, parece, al escuchar algunos argumentos,
3676876	3679137	que es propio de los argentinos.
3680238	3686641	¿Cómo es el argentino? Me preguntan a mí, ¿qué? ¿Cómo? ¿Somos muchos? ¿Cómo el argentino?
3688522	3701048	La historia es una cosa más compleja. No es que unos tipos tienen una DNA tal que se hacen amigos de nuestros enemigos para salvarse personalmente.
3701389	3705270	Pero hay algunos que lo hacen y otros que no lo hacen.
3708733	3720318	Y a veces en algunos países las cosas ruedan por infinidad de sucesos y eso va dando lugar.
3720338	3726221	Esas fluctuaciones dan lugar a la realidad y por eso tratamos de explicar por otras cosas.
3728002	3734504	Pero es muy difícil explicar el destino argentino, que es complejísimo y como todo el destino nacional.
3735144	3746147	Obedece a la interacción de numerosas fuerzas propias, internacionales, geográficas, climáticas.
3748968	3754730	Vos tenés hay una baulera de recursos donde uno va a agarrar lugares de, no sé si llamarlo de inspiración,
3755731	3761895	o de pasión. Hablabas de los griegos, hablabas de lo elénico, por ejemplo. Pienso en tus cuentos,
3762455	3765938	pienso en Oriente también, ¿viste? Que China es como esa cosa así.
3766038	3774744	Y bueno, si esas son fuentes de inspiración, son recursos que están ahí en los libros,
3774764	3783590	desde luego. Están también en el pensamiento y en el recuerdo y creo que nos influyen,
3783790	3785131	creo que nos influyen siempre.
3787450	3799375	Sí, tengo, todo lo que me aprendí es una fuente de inspiración y de algún modo uno
3799395	3807218	tiende a apropiarse de todo lo que ha leído como si fuera propio y creo que con cierto
3807238	3807658	derecho.
3808499	3809299	Con derecho, ¿no?
3809559	3810980	Yo creo que con cierto derecho.
3811681	3817562	lo que uno ha leído, lo que uno ha sabido, lo que le han contado a sus mayores, lo que se han enterado ahí por la calle,
3820363	3822844	todo eso es propio, es propio.
3823424	3826825	Y de tanto andar entre malandras, de tanto leer,
3826845	3833927	si te hacen familiar en las historias de otro y te cuesta concebir que no son tuyas,
3835768	3837148	pero de algún modo lo son,
3837168	3839789	y de algún modo lo son ¿por qué?
3841090	3844431	ir a buscar inspiración en Vítor Hugo,
3846991	3847971	el gusto enorme,
3851392	3852292	no Vítor Hugo Morales.
3852312	3854353	No, no, no, lo sé, lo sé.
3854873	3855713	Los miserables.
3855773	3856273	Claro.
3857854	3859834	No quiere decir copiar los capítulos,
3861574	3864415	pero quiere decir acordarse,
3865435	3867936	acordarse de un capítulo que se llama
3867956	3869296	Las Catacumbas de París.
3870777	3871977	Yo hoy voy a ser bien específico.
3872057	3874217	Entonces, voy a te acordar de ese capítulo.
3874298	3877018	Es un capítulo larguísimo, estancísimo.
3877638	3878998	Fuera, casi fuera de la novela.
3880739	3882159	Te cuento todos los detalles de eso.
3882179	3887800	Y eso que lo tenés en la cabeza, y un día se te ocurre en
3887840	3891021	cuento que sucede en las catacumbas de París.
3891181	3891901	O tenés el plano.
3892721	3894602	Y bueno, es que lo vayas a copiar a Vitorgo.
3894622	3895642	Si querés, no lo copies.
3896562	3898942	Empecé a estudiar sobre las catacumbas de París.
3901334	3905016	¿Y qué? Escribirse algo que por ahí no tiene nada que ver con Vitorugo,
3906177	3907738	porque no está escrito de esa manera.
3908319	3919607	También es cierto que vos podés inspirarte en técnicas estilísticas de Vitorugo, de la Martén o de Lugones,
3919807	3921888	que ha sido su seguidor.
3922569	3924951	Y bueno, está bien, si vos haces otra cosa con eso.
3925808	3929289	Está bien. ¿Por qué renunciar?
3930169	3930870	Oh, no, mirá.
3930910	3934691	Y iba a escribir un cuento
3935792	3938553	sobre dos hermanos que se llevan mal,
3938573	3940293	pero imagínate que está la Biblia.
3941254	3942654	Sí, no, llegué tarde, no sé.
3942674	3944835	Claro, he llegado tarde. Bueno, no es esto, no.
3946175	3947016	Bueno, eso es muy propio.
3947116	3949977	Siento que eso es un poco patrimonio de la academia.
3950017	3952698	La investigación tiene esta cosa de rigor donde...
3952718	3954939	Y a este tema ya lo trató, tal.
3955039	3956699	Está este paper que habla de eso.
3958161	3958962	Me parece que la literatura...
3958982	3960583	Lo haremos lo de nuevo, a ver cómo lo haremos.
3960763	3961303	Perfecto.
3962004	3962784	Bueno, Víctor Hugo.
3963405	3966987	Víctor Hugo creo que tiene, me acabo de acordar una de las definiciones más hermosas para
